Date,Close/Last,Volume,Open,High,Low,,,Date,High
10/25/2020,13101.3,N/A,13298.6,13129.3,12982.5,,,10/25/2020,13129.3
10/24/2020,13303.9,N/A,12972,13343.9,13077.8,,,10/24/2020,13343.9
10/23/2020,12982.1,N/A,12966.3,13013.7,12876.4,,,10/23/2020,13013.7
10/22/2020,12958.2,N/A,12726,13005.1,12842.7,,,10/22/2020,13005.1
10/21/2020,12770.2,N/A,12187.8,12928.1,12718.1,,,10/21/2020,12928.1
10/20/2020,12195.9,N/A,11743.2,12232.6,11894.6,,,10/20/2020,12232.6
10/19/2020,11756.5,N/A,11421.2,11760.8,11685.7,,,10/19/2020,11760.8
10/18/2020,11430.9,N/A,11370.6,11529.8,11427.2,,,10/18/2020,11529.8
10/17/2020,11372.3,N/A,11365.6,11399.5,11349.8,,,10/17/2020,11399.5
10/16/2020,11355.2,N/A,11508.9,11358,11274.4,,,10/16/2020,11358
10/15/2020,11499,N/A,11377.5,11542.2,11474.9,,,10/15/2020,11542.2
10/14/2020,11376.5,N/A,11392.8,11426.4,11361.7,,,10/14/2020,11426.4
10/13/2020,11442.7,N/A,11457.4,11485.6,11413.8,,,10/13/2020,11485.6
10/12/2020,11469.1,N/A,11386.4,11540.4,11436.9,,,10/12/2020,11540.4
10/11/2020,11395.5,N/A,11333,11408.8,11348.5,,,10/11/2020,11408.8
10/10/2020,11327.2,N/A,11410.8,11394.5,11277.6,,,10/10/2020,11394.5
10/9/2020,11419.8,N/A,10889.9,11475,11053.5,,,10/9/2020,11475
10/8/2020,10896.3,N/A,10642.5,10939.1,10868.4,,,10/8/2020,10939.1
10/7/2020,10645.4,N/A,10577.1,10672.1,10619.9,,,10/7/2020,10672.1
10/6/2020,10588.9,N/A,10766.7,10604.3,10553.3,,,10/6/2020,10604.3
10/5/2020,10778.5,N/A,10667.2,10800.3,10743.2,,,10/5/2020,10800.3
10/4/2020,10684.2,N/A,10547.2,10729.9,10659.4,,,10/4/2020,10729.9
10/3/2020,10545.4,N/A,10556.6,10560.3,10520.8,,,10/3/2020,10560.3
10/2/2020,10552.7,N/A,10646.8,10576.8,10523.4,,,10/2/2020,10576.8
10/1/2020,10613.6,N/A,10798.4,10627.6,10585.9,,,10/1/2020,10627.6
9/30/2020,10801.9,N/A,10747.7,10855.5,10776.6,,,9/30/2020,10855.5
9/29/2020,10768.5,N/A,10688.6,10847.7,10757.2,,,9/29/2020,10847.7
9/28/2020,10697.8,N/A,10908.7,10728.5,10667.8,,,9/28/2020,10728.5
9/27/2020,10895.8,N/A,10779.4,10946.6,10776.4,,,9/27/2020,10946.6
9/26/2020,10778.7,N/A,10710.3,10799.2,10722.4,,,9/26/2020,10799.2
9/25/2020,10706.4,N/A,10710.7,10745.6,10650.2,,,9/25/2020,10745.6
9/24/2020,10685.4,N/A,10299.5,10753.5,10685.4,,,9/24/2020,10753.5
9/23/2020,10300.2,N/A,10515.5,10336.1,10201,,,9/23/2020,10336.1
9/22/2020,10485.9,N/A,10445.5,10535,10485.4,,,9/22/2020,10535
9/21/2020,10450.9,N/A,10963.6,10488.6,10374.4,,,9/21/2020,10488.6
9/20/2020,10957.9,N/A,10950.7,10977,10895.7,,,9/20/2020,10977
9/19/2020,10950.5,N/A,10977.6,11081.6,10908.5,,,9/19/2020,11081.6
9/18/2020,10960,N/A,10927.1,10977.8,10933.1,,,9/18/2020,10977.8
